Data;Estados;Categoria de Produtos;Fam°lia de Produtos; Receita ; Valor Devoluá∆o ;Quantidade de venda;Quantidade Devoluá∆o; Custo ; Quantidade de NFs ;Quantidade de Clientes;
03/07/2025;AM;OLEO;GRAXA; R$ 2.613,59 ; R$ 22,00 ;36;1; R$ 1.889,83 ; 37,00 ;32;
03/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 4.216,09 ; R$ 20,18 ;193;1; R$ 2.709,07 ; 110,00 ;63;
03/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.375,26 ; R$ 261,34 ;269;11; R$ 3.668,26 ; 127,00 ;43;
03/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 139.392,96 ; R$ 644,20 ;3516;18; R$ 103.830,08 ; 604,00 ;208;
03/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 16.159,20 ; R$ 51,10 ;472;2; R$ 11.617,55 ; 168,00 ;92;
03/07/2025;AM;OLEO;OLEO HIDR; R$ 525,95 ; R$ -   ;23;0; R$ 355,58 ; 21,00 ;13;
03/07/2025;AM;OLEO;QU÷MICOS; R$ 32.503,56 ; R$ 144,73 ;1730;10; R$ 20.627,08 ; 600,00 ;197;
04/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 219,83 ; R$ -   ;13;0; R$ 131,82 ; 11,00 ;8;
04/07/2025;AM;OLEO;GRAXA; R$ 9.255,25 ; R$ 1.147,80 ;76;40; R$ 7.218,91 ; 27,00 ;26;
04/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 331,51 ; R$ -   ;3;0; R$ 211,80 ; 3,00 ;3;
04/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 4.016,37 ; R$ 56,47 ;173;2; R$ 2.423,56 ; 121,00 ;63;
04/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.664,60 ; R$ -   ;286;0; R$ 3.845,65 ; 124,00 ;42;
04/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 97.145,90 ; R$ 1.243,06 ;2096;59; R$ 71.169,24 ; 561,00 ;216;
04/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 23.851,50 ; R$ 90,84 ;392;3; R$ 15.878,63 ; 157,00 ;79;
04/07/2025;AM;OLEO;OLEO HIDR; R$ 520,16 ; R$ 22,49 ;23;1; R$ 355,58 ; 22,00 ;16;
04/07/2025;AM;OLEO;QU÷MICOS; R$ 31.088,37 ; R$ 929,18 ;1435;36; R$ 19.699,78 ; 568,00 ;186;
05/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 295,03 ; R$ -   ;19;0; R$ 192,66 ; 8,00 ;7;
05/07/2025;AM;OLEO;GRAXA; R$ 2.516,74 ; R$ -   ;25;0; R$ 1.873,89 ; 18,00 ;17;
05/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 337,11 ; R$ -   ;3;0; R$ 211,80 ; 3,00 ;3;
05/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 2.756,61 ; R$ -   ;131;0; R$ 1.723,59 ; 98,00 ;39;
05/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 6.486,69 ; R$ 30,00 ;330;1; R$ 4.446,42 ; 147,00 ;38;
05/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 75.086,29 ; R$ 617,19 ;1963;14; R$ 54.704,12 ; 536,00 ;156;
05/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 12.828,26 ; R$ 59,82 ;399;2; R$ 9.099,21 ; 171,00 ;60;
05/07/2025;AM;OLEO;OLEO HIDR; R$ 522,36 ; R$ -   ;23;0; R$ 355,58 ; 20,00 ;9;
05/07/2025;AM;OLEO;QU÷MICOS; R$ 23.600,61 ; R$ 184,92 ;1206;15; R$ 14.652,90 ; 573,00 ;119;
05/07/2025;AM;OLEO;VEDAÄ«O; R$ 8,18 ; R$ -   ;1;0; R$ 4,82 ; 1,00 ;1;
06/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 37,00 ; R$ -   ;2;0; R$ 20,28 ; 2,00 ;1;
06/07/2025;AM;OLEO;GRAXA; R$ 256,15 ; R$ -   ;7;0; R$ 161,60 ; 5,00 ;3;
06/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 419,32 ; R$ -   ;18;0; R$ 260,31 ; 16,00 ;4;
06/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 865,96 ; R$ -   ;45;0; R$ 585,80 ; 22,00 ;5;
06/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 5.652,53 ; R$ -   ;159;0; R$ 4.017,56 ; 70,00 ;12;
06/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 1.191,13 ; R$ -   ;39;0; R$ 767,67 ; 23,00 ;8;
06/07/2025;AM;OLEO;OLEO HIDR; R$ 67,38 ; R$ -   ;3;0; R$ 46,38 ; 3,00 ;2;
06/07/2025;AM;OLEO;QU÷MICOS; R$ 4.301,02 ; R$ -   ;217;0; R$ 2.615,98 ; 101,00 ;13;
07/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 452,27 ; R$ -   ;28;0; R$ 283,92 ; 17,00 ;13;
07/07/2025;AM;OLEO;GRAXA; R$ 6.562,36 ; R$ -   ;74;0; R$ 4.714,60 ; 29,00 ;22;
07/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.737,61 ; R$ 31,90 ;178;1; R$ 2.352,07 ; 132,00 ;68;
07/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 6.619,49 ; R$ 19,00 ;324;1; R$ 4.525,69 ; 147,00 ;40;
07/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 144.175,51 ; R$ 488,97 ;2717;18; R$ 107.430,22 ; 666,00 ;220;
07/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 15.990,89 ; R$ 222,32 ;471;7; R$ 11.100,11 ; 184,00 ;80;
07/07/2025;AM;OLEO;OLEO HIDR; R$ 813,18 ; R$ 22,44 ;36;1; R$ 556,56 ; 25,00 ;17;
07/07/2025;AM;OLEO;QU÷MICOS; R$ 29.641,70 ; R$ 358,78 ;1467;14; R$ 19.136,98 ; 674,00 ;183;
08/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 561,64 ; R$ -   ;34;0; R$ 344,76 ; 22,00 ;20;
08/07/2025;AM;OLEO;GRAXA; R$ 3.095,34 ; R$ 42,00 ;44;2; R$ 2.208,09 ; 33,00 ;27;
08/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 111,60 ; R$ -   ;1;0; R$ 70,60 ; 1,00 ;1;
08/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.306,97 ; R$ 40,40 ;149;2; R$ 2.075,76 ; 111,00 ;63;
08/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.368,01 ; R$ -   ;272;0; R$ 3.677,11 ; 125,00 ;41;
08/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 105.347,10 ; R$ 3.098,26 ;1998;127; R$ 78.407,76 ; 569,00 ;192;
08/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 12.436,99 ; R$ 728,00 ;377;21; R$ 8.794,71 ; 182,00 ;89;
08/07/2025;AM;OLEO;OLEO HIDR; R$ 646,46 ; R$ -   ;29;0; R$ 448,34 ; 16,00 ;12;
08/07/2025;AM;OLEO;QU÷MICOS; R$ 29.081,60 ; R$ 93,40 ;1388;5; R$ 18.716,03 ; 588,00 ;184;
08/07/2025;AM;OLEO;VEDAÄ«O; R$ 24,00 ; R$ -   ;2;0; R$ 15,92 ; 2,00 ;2;
09/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 460,51 ; R$ -   ;27;0; R$ 273,78 ; 22,00 ;17;
09/07/2025;AM;OLEO;GRAXA; R$ 7.291,92 ; R$ 67,50 ;51;1; R$ 5.402,34 ; 34,00 ;25;
09/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 441,59 ; R$ -   ;4;0; R$ 282,40 ; 3,00 ;3;
09/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 4.927,69 ; R$ 20,19 ;239;1; R$ 3.199,94 ; 126,00 ;69;
09/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 7.492,76 ; R$ -   ;383;0; R$ 5.207,65 ; 112,00 ;38;
09/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 96.110,65 ; R$ 641,35 ;2311;18; R$ 70.163,73 ; 612,00 ;205;
09/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 15.932,38 ; R$ 320,76 ;443;6; R$ 11.213,52 ; 187,00 ;86;
09/07/2025;AM;OLEO;OLEO HIDR; R$ 430,65 ; R$ -   ;19;0; R$ 293,74 ; 16,00 ;12;
09/07/2025;AM;OLEO;QU÷MICOS; R$ 32.255,47 ; R$ 549,61 ;1485;12; R$ 20.570,46 ; 606,00 ;190;
10/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 322,14 ; R$ -   ;19;0; R$ 192,66 ; 15,00 ;12;
10/07/2025;AM;OLEO;GRAXA; R$ 5.051,12 ; R$ -   ;27;0; R$ 3.663,09 ; 20,00 ;16;
10/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 224,57 ; R$ -   ;2;0; R$ 141,20 ; 2,00 ;2;
10/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.223,28 ; R$ -   ;143;0; R$ 2.006,51 ; 115,00 ;59;
10/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.057,67 ; R$ -   ;259;0; R$ 3.484,65 ; 101,00 ;36;
10/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 133.397,37 ; R$ 1.537,77 ;2501;49; R$ 101.320,86 ; 548,00 ;188;
10/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 10.726,02 ; R$ 280,60 ;320;8; R$ 7.454,80 ; 172,00 ;79;
10/07/2025;AM;OLEO;OLEO HIDR; R$ 435,75 ; R$ -   ;19;0; R$ 293,74 ; 11,00 ;9;
10/07/2025;AM;OLEO;QU÷MICOS; R$ 30.926,39 ; R$ 361,12 ;1359;18; R$ 20.148,24 ; 555,00 ;181;
11/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 876,73 ; R$ -   ;55;0; R$ 557,70 ; 17,00 ;13;
11/07/2025;AM;OLEO;GRAXA; R$ 2.009,20 ; R$ -   ;30;0; R$ 1.423,08 ; 29,00 ;25;
11/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 223,60 ; R$ -   ;2;0; R$ 141,20 ; 2,00 ;2;
11/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.654,89 ; R$ 94,65 ;177;3; R$ 2.327,32 ; 92,00 ;55;
11/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.599,98 ; R$ 180,08 ;287;9; R$ 3.840,88 ; 120,00 ;43;
11/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 100.759,52 ; R$ 501,59 ;2033;16; R$ 73.536,93 ; 585,00 ;207;
11/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 11.257,45 ; R$ 640,69 ;324;13; R$ 7.768,23 ; 172,00 ;90;
11/07/2025;AM;OLEO;OLEO HIDR; R$ 302,93 ; R$ 46,00 ;13;2; R$ 200,98 ; 17,00 ;12;
11/07/2025;AM;OLEO;QU÷MICOS; R$ 27.755,84 ; R$ 354,16 ;1342;14; R$ 17.442,17 ; 595,00 ;180;
12/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 332,53 ; R$ -   ;19;0; R$ 192,66 ; 17,00 ;11;
12/07/2025;AM;OLEO;GRAXA; R$ 887,57 ; R$ -   ;23;0; R$ 588,22 ; 20,00 ;14;
12/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 224,29 ; R$ -   ;2;0; R$ 141,20 ; 2,00 ;2;
12/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.085,06 ; R$ 21,12 ;143;1; R$ 1.837,82 ; 110,00 ;51;
12/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 4.248,18 ; R$ -   ;215;0; R$ 2.878,99 ; 104,00 ;36;
12/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 63.064,73 ; R$ 879,47 ;1699;28; R$ 44.869,44 ; 508,00 ;168;
12/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 9.048,58 ; R$ 180,24 ;270;8; R$ 6.139,16 ; 144,00 ;63;
12/07/2025;AM;OLEO;OLEO HIDR; R$ 517,06 ; R$ -   ;23;0; R$ 355,58 ; 18,00 ;15;
12/07/2025;AM;OLEO;QU÷MICOS; R$ 24.557,85 ; R$ 146,02 ;1241;3; R$ 15.391,14 ; 602,00 ;139;
13/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 17,00 ; R$ -   ;1;0; R$ 10,14 ; 1,00 ;1;
13/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 311,28 ; R$ -   ;12;0; R$ 181,71 ; 10,00 ;4;
13/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 496,00 ; R$ 17,18 ;24;1; R$ 334,66 ; 19,00 ;4;
13/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 6.132,09 ; R$ 24,00 ;167;1; R$ 4.004,46 ; 67,00 ;6;
13/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 1.854,32 ; R$ -   ;55;0; R$ 1.158,75 ; 24,00 ;7;
13/07/2025;AM;OLEO;OLEO HIDR; R$ 68,78 ; R$ -   ;3;0; R$ 46,38 ; 3,00 ;2;
13/07/2025;AM;OLEO;QU÷MICOS; R$ 3.495,57 ; R$ -   ;164;0; R$ 2.060,02 ; 85,00 ;8;
14/07/2025;AM;OLEO;FERRAMENTAS; R$ 313,96 ; R$ -   ;1;0; R$ 207,79 ; 1,00 ;1;
14/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 279,10 ; R$ -   ;16;0; R$ 162,24 ; 16,00 ;11;
14/07/2025;AM;OLEO;GRAXA; R$ 3.836,35 ; R$ -   ;32;0; R$ 2.866,57 ; 26,00 ;23;
14/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 345,65 ; R$ -   ;3;0; R$ 211,80 ; 3,00 ;2;
14/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 4.864,21 ; R$ 41,37 ;239;2; R$ 3.074,91 ; 136,00 ;58;
14/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.716,80 ; R$ 18,26 ;295;1; R$ 3.915,00 ; 112,00 ;44;
14/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 114.100,90 ; R$ 947,86 ;2013;24; R$ 84.321,01 ; 516,00 ;182;
14/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 31.513,86 ; R$ 28,00 ;533;1; R$ 20.758,06 ; 197,00 ;84;
14/07/2025;AM;OLEO;OLEO HIDR; R$ 193,17 ; R$ -   ;8;0; R$ 123,68 ; 8,00 ;7;
14/07/2025;AM;OLEO;QU÷MICOS; R$ 30.897,08 ; R$ 268,66 ;1659;8; R$ 20.027,26 ; 583,00 ;173;
15/07/2025;AM;OLEO;; R$ 783,88 ; R$ -   ;2;0; R$ 522,00 ; 1,00 ;1;
15/07/2025;AM;OLEO;FLUIDO DE FREIO; R$ 480,49 ; R$ -   ;28;0; R$ 283,92 ; 19,00 ;15;
15/07/2025;AM;OLEO;GRAXA; R$ 3.359,69 ; R$ -   ;26;0; R$ 2.512,79 ; 20,00 ;18;
15/07/2025;AM;OLEO;LUBRIFICAÄ«O; R$ 357,00 ; R$ -   ;3;0; R$ 211,80 ; 2,00 ;2;
15/07/2025;AM;OLEO;‡LEO DE FREIO; R$ 3.207,82 ; R$ 102,44 ;150;5; R$ 1.988,55 ; 115,00 ;57;
15/07/2025;AM;OLEO;OLEO DE MOTOR; R$ 5.488,72 ; R$ 127,12 ;277;5; R$ 3.766,65 ; 123,00 ;40;
15/07/2025;AM;OLEO;‡LEO DE MOTOR; R$ 140.205,23 ; R$ 938,44 ;2179;44; R$ 105.182,53 ; 568,00 ;203;
15/07/2025;AM;OLEO;‡LEO DE TRANSMISS«O; R$ 10.678,31 ; R$ 682,83 ;327;17; R$ 7.551,34 ; 174,00 ;82;
15/07/2025;AM;OLEO;OLEO HIDR; R$ 365,93 ; R$ -   ;16;0; R$ 247,36 ; 13,00 ;10;
15/07/2025;AM;OLEO;QU÷MICOS; R$ 31.502,81 ; R$ 271,18 ;1557;11; R$ 20.356,66 ; 599,00 ;193;
15/07/2025;AM;OLEO;VEDAÄ«O; R$ 30,00 ; R$ -   ;2;0; R$ 9,64 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;; R$ 2.333,90 ; R$ -   ;15;0; R$ 1.414,35 ; 11,00 ;11;
01/07/2025;AM;PEÄAS - LINHA LEVE;A CLASSIFICAR; R$ 5.463,28 ; R$ 415,64 ;68;4; R$ 3.635,90 ; 50,00 ;42;
01/07/2025;AM;PEÄAS - LINHA LEVE;ABASTECIMENTO; R$ 232,90 ; R$ -   ;1;0; R$ 168,11 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;ACESS‡RIOS; R$ 10.283,16 ; R$ 178,41 ;76;3; R$ 6.912,73 ; 59,00 ;41;
01/07/2025;AM;PEÄAS - LINHA LEVE;ADMISS«O; R$ 45,00 ; R$ -   ;1;0; R$ 21,75 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;ALIMENTAÄ«O; R$ 19.820,38 ; R$ 2.335,36 ;154;8; R$ 12.661,16 ; 145,00 ;85;
01/07/2025;AM;PEÄAS - LINHA LEVE;ARREFECIMENTO; R$ 14.732,68 ; R$ 833,98 ;108;6; R$ 9.433,52 ; 109,00 ;70;
01/07/2025;AM;PEÄAS - LINHA LEVE;CARROCERIA; R$ 8.654,11 ; R$ 809,45 ;86;6; R$ 5.675,88 ; 88,00 ;60;
01/07/2025;AM;PEÄAS - LINHA LEVE;COMANDO DE VµLVULAS; R$ 102,55 ; R$ -   ;1;0; R$ 65,57 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES DE FIXAÄ«O; R$ 738,66 ; R$ 100,94 ;6;1; R$ 465,22 ; 8,00 ;8;
01/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES INTERNOS CABINE; R$ 248,60 ; R$ -   ;1;0; R$ 164,99 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES INTERNOS DO MOTOR; R$ 15.529,05 ; R$ 758,54 ;126;5; R$ 10.419,95 ; 117,00 ;85;
01/07/2025;AM;PEÄAS - LINHA LEVE;CONEX«O; R$ 332,51 ; R$ -   ;2;0; R$ 191,82 ; 2,00 ;2;
01/07/2025;AM;PEÄAS - LINHA LEVE;DIREÄ«O; R$ 42.145,99 ; R$ 1.752,71 ;383;23; R$ 27.065,14 ; 221,00 ;137;
01/07/2025;AM;PEÄAS - LINHA LEVE;DISTRIBUIÄ«O; R$ 3.309,88 ; R$ -   ;6;0; R$ 2.294,55 ; 6,00 ;5;
01/07/2025;AM;PEÄAS - LINHA LEVE;ELêTRICA; R$ 34.870,88 ; R$ 3.504,09 ;416;18; R$ 22.868,01 ; 222,00 ;115;
01/07/2025;AM;PEÄAS - LINHA LEVE;ESTRIBO; R$ 559,23 ; R$ -   ;6;0; R$ 352,27 ; 6,00 ;6;
01/07/2025;AM;PEÄAS - LINHA LEVE;EXAUST«O; R$ 7.271,82 ; R$ 253,68 ;65;2; R$ 4.693,82 ; 63,00 ;51;
01/07/2025;AM;PEÄAS - LINHA LEVE;FECHAMENTO; R$ 855,60 ; R$ -   ;6;0; R$ 559,93 ; 4,00 ;4;
01/07/2025;AM;PEÄAS - LINHA LEVE;FERRAMENTAS; R$ 920,74 ; R$ -   ;24;0; R$ 547,72 ; 23,00 ;18;
01/07/2025;AM;PEÄAS - LINHA LEVE;FILTROS; R$ 96,72 ; R$ -   ;1;0; R$ 68,39 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;FIXAÄ«O; R$ 7.496,57 ; R$ 293,69 ;167;7; R$ 5.080,12 ; 81,00 ;51;
01/07/2025;AM;PEÄAS - LINHA LEVE;FREIOS; R$ 12.153,74 ; R$ 3.162,45 ;104;10; R$ 7.831,57 ; 86,00 ;66;
01/07/2025;AM;PEÄAS - LINHA LEVE;HIDRµULICO; R$ 854,39 ; R$ -   ;7;0; R$ 537,94 ; 6,00 ;6;
01/07/2025;AM;PEÄAS - LINHA LEVE;IGNIÄ«O; R$ 23.742,97 ; R$ 1.877,63 ;257;12; R$ 15.245,69 ; 171,00 ;95;
01/07/2025;AM;PEÄAS - LINHA LEVE;ILUMINAÄ«O; R$ 21.851,23 ; R$ 4.282,73 ;613;18; R$ 14.766,20 ; 276,00 ;110;
01/07/2025;AM;PEÄAS - LINHA LEVE;INDEFINIDO; R$ 837,30 ; R$ -   ;3;0; R$ 563,25 ; 2,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;INJEÄ«O; R$ 16.044,77 ; R$ 1.161,73 ;121;3; R$ 10.782,78 ; 71,00 ;55;
01/07/2025;AM;PEÄAS - LINHA LEVE;LUBRIFICAÄ«O; R$ 6.913,96 ; R$ 2.281,32 ;40;2; R$ 4.880,30 ; 44,00 ;42;
01/07/2025;AM;PEÄAS - LINHA LEVE;MANGUEIRAS; R$ 3.576,37 ; R$ 524,87 ;67;7; R$ 2.166,78 ; 75,00 ;52;
01/07/2025;AM;PEÄAS - LINHA LEVE;MANUTENÄ«O; R$ 812,90 ; R$ -   ;12;0; R$ 500,64 ; 2,00 ;2;
01/07/2025;AM;PEÄAS - LINHA LEVE;MEDIDORES; R$ 575,00 ; R$ -   ;8;0; R$ 343,84 ; 8,00 ;8;
01/07/2025;AM;PEÄAS - LINHA LEVE;MOTOR; R$ 55.517,73 ; R$ 3.746,31 ;669;29; R$ 38.638,76 ; 424,00 ;211;
01/07/2025;AM;PEÄAS - LINHA LEVE;OUTROS; R$ 393,58 ; R$ 46,86 ;17;2; R$ 266,73 ; 6,00 ;5;
01/07/2025;AM;PEÄAS - LINHA LEVE;PAINEL; R$ 217,51 ; R$ 807,14 ;4;1; R$ 159,36 ; 6,00 ;5;
01/07/2025;AM;PEÄAS - LINHA LEVE;PARTIDA; R$ 9.753,32 ; R$ 521,30 ;31;1; R$ 6.558,76 ; 33,00 ;29;
01/07/2025;AM;PEÄAS - LINHA LEVE;PNEUMµTICO; R$ 812,72 ; R$ -   ;14;0; R$ 544,64 ; 10,00 ;10;
01/07/2025;AM;PEÄAS - LINHA LEVE;POLIAS E TENSORES; R$ 7.883,74 ; R$ 148,73 ;106;3; R$ 5.208,29 ; 87,00 ;63;
01/07/2025;AM;PEÄAS - LINHA LEVE;REFRIGERACAO; R$ 16.576,93 ; R$ 933,91 ;17;2; R$ 11.861,82 ; 17,00 ;15;
01/07/2025;AM;PEÄAS - LINHA LEVE;REPARO; R$ 669,22 ; R$ 689,71 ;7;4; R$ 456,44 ; 13,00 ;13;
01/07/2025;AM;PEÄAS - LINHA LEVE;RODA; R$ 2.199,59 ; R$ -   ;13;0; R$ 1.470,23 ; 13,00 ;12;
01/07/2025;AM;PEÄAS - LINHA LEVE;ROLAMENTO; R$ 8.908,14 ; R$ 269,55 ;107;5; R$ 6.079,04 ; 69,00 ;49;
01/07/2025;AM;PEÄAS - LINHA LEVE;SEGURANÄA; R$ 60,00 ; R$ -   ;1;0; R$ 25,44 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;SENSORES; R$ 21.759,12 ; R$ 1.552,05 ;190;12; R$ 13.995,43 ; 195,00 ;114;
01/07/2025;AM;PEÄAS - LINHA LEVE;SISTEMA DE CABINE; R$ 122,85 ; R$ -   ;1;0; R$ 90,77 ; 1,00 ;1;
01/07/2025;AM;PEÄAS - LINHA LEVE;SUSPENS«O; R$ 242.572,75 ; R$ 13.463,26 ;2270;101; R$ 151.093,47 ; 1.008,00 ;368;
01/07/2025;AM;PEÄAS - LINHA LEVE;TERMINAL; R$ 578,41 ; R$ -   ;31;0; R$ 300,90 ; 21,00 ;15;
01/07/2025;AM;PEÄAS - LINHA LEVE;TRANSMISS«O; R$ 202.671,97 ; R$ 16.896,17 ;1477;102; R$ 131.076,22 ; 1.107,00 ;411;
01/07/2025;AM;PEÄAS - LINHA LEVE;TUBOS INTERMEDIµRIOS; R$ 225,00 ; R$ -   ;2;0; R$ 131,76 ; 2,00 ;2;
01/07/2025;AM;PEÄAS - LINHA LEVE;TURBOALIMENTAÄ«O; R$ 2.545,49 ; R$ 305,37 ;3;1; R$ 2.012,53 ; 5,00 ;5;
01/07/2025;AM;PEÄAS - LINHA LEVE;UNIVERSAL; R$ 3.549,20 ; R$ 30,00 ;39;1; R$ 2.320,06 ; 26,00 ;24;
01/07/2025;AM;PEÄAS - LINHA LEVE;VµLVULAS; R$ 13.736,09 ; R$ 1.708,57 ;192;4; R$ 9.566,54 ; 116,00 ;75;
01/07/2025;AM;PEÄAS - LINHA LEVE;VEDAÄ«O; R$ 4.361,84 ; R$ -   ;57;0; R$ 3.059,36 ; 30,00 ;28;
02/07/2025;AM;PEÄAS - LINHA LEVE;; R$ 1.946,67 ; R$ -   ;20;0; R$ 1.354,31 ; 14,00 ;12;
02/07/2025;AM;PEÄAS - LINHA LEVE;A CLASSIFICAR; R$ 4.889,27 ; R$ 20,79 ;53;1; R$ 3.443,14 ; 33,00 ;27;
02/07/2025;AM;PEÄAS - LINHA LEVE;ABASTECIMENTO; R$ 1.595,40 ; R$ -   ;1;0; R$ 1.141,57 ; 1,00 ;1;
02/07/2025;AM;PEÄAS - LINHA LEVE;ACESS‡RIOS; R$ 8.501,63 ; R$ 1.026,46 ;77;3; R$ 5.623,69 ; 66,00 ;52;
02/07/2025;AM;PEÄAS - LINHA LEVE;ADMISS«O; R$ 119,55 ; R$ -   ;3;0; R$ 56,07 ; 3,00 ;3;
02/07/2025;AM;PEÄAS - LINHA LEVE;ALIMENTAÄ«O; R$ 21.005,11 ; R$ 2.529,76 ;119;10; R$ 13.567,47 ; 117,00 ;73;
02/07/2025;AM;PEÄAS - LINHA LEVE;ARREFECIMENTO; R$ 15.448,72 ; R$ 506,05 ;107;3; R$ 9.847,83 ; 101,00 ;73;
02/07/2025;AM;PEÄAS - LINHA LEVE;CARROCERIA; R$ 12.410,92 ; R$ 383,66 ;114;3; R$ 8.507,92 ; 83,00 ;58;
02/07/2025;AM;PEÄAS - LINHA LEVE;COMANDO DE VµLVULAS; R$ 914,44 ; R$ -   ;3;0; R$ 579,58 ; 3,00 ;3;
02/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES DE FIXAÄ«O; R$ 707,79 ; R$ 155,00 ;6;1; R$ 365,10 ; 8,00 ;8;
02/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES DE VEDAÄ«O; R$ 6,00 ; R$ -   ;2;0; R$ 3,12 ; 1,00 ;1;
02/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES INTERNOS CABINE; R$ 413,55 ; R$ -   ;2;0; R$ 270,69 ; 2,00 ;2;
02/07/2025;AM;PEÄAS - LINHA LEVE;COMPONENTES INTERNOS DO MOTOR; R$ 16.071,52 ; R$ 644,19 ;103;5; R$ 10.884,13 ; 104,00 ;75;
02/07/2025;AM;PEÄAS - LINHA LEVE;CONEX«O; R$ 199,13 ; R$ -   ;1;0; R$ 95,91 ; 1,00 ;1;
02/07/2025;AM;PEÄAS - LINHA LEVE;DIREÄ«O; R$ 31.651,27 ; R$ 2.791,91 ;414;30; R$ 19.213,86 ; 246,00 ;144;
